Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	CDD	cd01949	GGDEF	384	532	2.97839E-55	T	29-10-2025	IPR000160	GGDEF domain	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Pfam	PF00563	EAL domain	554	613	2.5E-11	T	29-10-2025	IPR001633	EAL domain	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	PANTHER	PTHR44757	DIGUANYLATE CYCLASE DGCP	371	612	1.8E-65	T	29-10-2025	IPR052155	Bacterial biofilm regulation/maintenance	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	324	341	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	295	311	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	194	214	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	226	251	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	260	282	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	342	346	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	163	182	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	92	102	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	193	215	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	225	247	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	252	262	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	346	368	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	ProSiteProfiles	PS50883	EAL domain profile.	549	614	20.957911	T	29-10-2025	IPR001633	EAL domain	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	SUPERFAMILY	SSF141868	EAL domain-like	555	612	4.05E-16	T	29-10-2025	IPR035919	EAL domain superfamily	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	284	294	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	183	193	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	103	121	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	MobiDBLite	mobidb-lite	consensus disorder prediction	25	46	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	100	122	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	347	368	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	1	70	-	T	29-10-2025	-	-	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	ProSiteProfiles	PS50887	GGDEF domain profile.	409	540	31.2267	T	29-10-2025	IPR000160	GGDEF domain	-	-
Actinotalea|orf_012	795171694946a31f1056d0762796d576	614	Pfam	PF00990	Diguanylate cyclase, GGDEF domain	384	532	4.1E-32	T	29-10-2025	IPR000160	GGDEF domain	-	-
